DRIVER_TYPE,CLIENT_DRIVER_ID,ID,DRIVER NAME,SUB DRIVER NAME,DFC,DFF,DEC,DHN,DCR,DTP,DFV,DDN,DEG,DZA,DCL,TFA,OneDole,AP,Purchasing,Financial Services,TOTAL,Comentarios,Column1
CLIENT,C-001001001,GIS Distribution ,GIS Distribution, ,0.000265029,0.480598377,0,0,0,0.457776404,0.041859917,0.019500272,0,0,0,0,0,0,0,0,0.999999999,,C-001001001
CLIENT,C-001002001,EDI,EDI,,0,0.446725273,0,0,0,0,0.534977937,0.01829679,0,0,0,0,0,0,0,0,1,,C-001002001
CLIENT,C-002001001,DevOpsBasic,DevOps,Basic,0.083333333,0.483333333,0,0,0,0.15,0,0,0,0,0,0,0.033333333,0,0.066666667,0.183333333,0.999999999,,C-002001001
CLIENT,C-002001002,DevOpsBasic + Test Plans,DevOps,Basic + Test Plans,0,0.6,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1,,C-002001002
CLIENT,C-002002001,D365Licenses,D365,Licenses,0.050228311,0.705479452,0,0,0,0.059360731,0,0.00456621,0,0,0,0,0.011415525,0,0.100456621,0.068493151,1.000000001,,C-002002001
CLIENT,C-002002002,To-IncreaseLicenses,To-Increase,Licenses,0.059859155,0.711267606,0,0,0,0.059859155,0,0.007042254,0,0,0,0,0.01056338,0,0.080985916,0.070422535,1.000000001,,C-002002002
CLIENT,C-002002003,ApteanLicenses,Aptean,Licenses,0,0.740740741,0,0,0,0.069958848,0,0,0,0,0,0,0.012345679,0,0.094650206,0.082304527,1.000000001,,C-002002003
CLIENT,C-002002004,To-IncreaseEAM,To-Increase,EAM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,C-002002004
CLIENT,C-002002005,To-IncreaseDMS,To-Increase,DMS,0.064885496,0.687022901,0,0,0,0.064885496,0,0.007633588,0,0,0,0,0.011450382,0,0.08778626,0.076335878,1.000000001,,C-002002005
CLIENT,C-002002006,D365Licenses Clients,D365,Licenses Clients,0.061281337,0.860724234,0,0,0,0.072423398,0,0.005571031,0,0,0,0,0,0,0,0,1,,C-002002006
CLIENT,C-002003001,O365 UsersPlaza Roble,O365 Users,Plaza Roble,0,0,0,0,0.38,0.62,0,0,0,0,0,0,0,0,0,0,1,,C-002003001
CLIENT,C-002003002,O365 UsersGlobal,O365 Users,Global,0.017477725,0.05003427,0.139479095,0.157984921,0.166723783,0.027244688,0.203906786,0.013536669,0.049006169,0.026045237,0.148560658,0,0,0,0,0,1.000000001,,C-002003002
CLIENT,C-002003003,O365 UsersNA,O365 Users,NA,0.061334937,0.17558629,0,0,0,0,0.715574263,0.04750451,0,0,0,0,0,0,0,0,1,,C-002003003
CLIENT,C-002003004,O365 UsersNA/LA,O365 Users,NA/LA,0.018895887,0.054094109,0.150796591,0.170804002,0.180251945,0.029455354,0.220452019,0.01463505,0,0,0.160615043,0,0,0,0,0,1,,C-002003004
CLIENT,C-002003005,O365 UsersLA,O365 Users,LA,0,0,0.21793842,0.246854083,0.260508702,0.042570281,0,0,0,0,0.232128514,0,0,0,0,0,1,,C-002003005
CLIENT,C-002003006,O365 UsersDFC/DFF,O365 Users,DFC/DFF,0.258883249,0.741116751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,C-002003006
CLIENT,C-002003007,O365 UsersDCR/DTP,O365 Users,DCR/DTP,0,0,0,0,0.859540636,0.140459364,0,0,0,0,0,0,0,0,0,0,1,,C-002003007
CLIENT,C-002003008,O365 UsersDFV/DDN,O365 Users,DFV/DDN,0,0,0,0,0,0,0.937746257,0.062253743,0,0,0,0,0,0,0,0,1,,C-002003008
CLIENT,C-002003009,EA ContractGlobal,EA Contract,Global,0.031102635,0.100073667,0.10882725,0.118959918,0.127000094,0.032743873,0.21196542,0.025351909,0.096888892,0.020603382,0.100076488,0,0.000725245,,0.005480381,0.020200847,1,,C-002003008
CLIENT,C-002003010,SmartDrawGlobal,SmartDraw,Global,0.480129295,0.256711346,0.004228667,0,0.009021021,0.170868179,0.01025544,0,0,0,0,0,0,0.064557384,0.004228667,0,1,,C-002003008
CLIENT,C-002003011,SmartDrawSubcriptions,SmartDraw,Subcriptions,0.096774194,0.064516129,0.032258065,0.064516129,0.35483871,0.096774194,0.129032258,0,0.064516129,0.032258065,0.032258065,0,0,0.032258065,0,0,1,,C-002003008
CLIENT,C-002003012,EA ContractON Premise,EA Contract,ON Premise,0.00425382,0.120471128,0.122325222,0.093161462,0.152096386,0.106046299,0.2482328,0.003336298,0.043927933,0.019536202,0.086124713,0,0.000487738,0,0,,1,,C-002003008
CLIENT,C-002003013,EskerGlobal,Esker,Global,0.00261324,0.316898955,0,0,0,0,0.674825784,0,0,0,0,0,0,0,0,0.005662021,1,,C-002003008
CLIENT,C-002003014,DepreciationRDS,Depreciation,RDS,0.017943219,0.044858049,0.14102839,0.148813396,0.1813914,0.034429989,0.205286108,0.037845644,0.044858049,0.026914829,0.116630927,0,0,0,0,,1,,C-002003008
CLIENT,C-002004001,DatabasesOracle,Databases,Oracle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,C-002004001
CLIENT,C-002004002,NUMBER OF REQUESTOracle,NUMBER OF REQUEST,Oracle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,C-002004002
CLIENT,C-002005001,DBA SQL SERVER,DBA SQL SERVER,,0.128272251,0.390052356,0.077225131,0.094240838,0.14895288,0,0,0,0,0,0,0.161256545,0,0,0,0,1.000000001,,C-002005001
CLIENT,C-002005002,IDERALicenses,IDERA,Licenses,0.142857143,0,0.021428571,0.057142857,0.035714286,0.028571429,0,0,0.285714286,0.142857143,0.142857143,0.142857143,0,0,0,0,1.000000001,,C-002005002
CLIENT,C-002006001,LN DATA BASES,LN DATA BASES,,0,0,0,0,0,0,0,0,0,0,0,0.653846154,0,0,0,0.346153846,1,,C-002006001
CLIENT,C-003001001,PtP,PtP,,0,0,0,0,0.619770318,0.380229682,0,0,0,0,0,0,0,0,0,0,1,,C-003001001
CLIENT,C-003001002,Internet Link,Internet Link,,0.028799966,0.16808126,0.011242807,0.011242807,0.361089686,0.161395928,0.235481243,0.012464125,0,0,0.010202178,0,0,0,0,0,1,,C-003001002
CLIENT,C-003001003,Registration,Registration,,0.028799966,0.16808126,0.011242807,0.011242807,0.441013125,0.081472489,0.235481243,0.012464125,0,0,0.010202178,0,0,0,0,0,1,,C-003001003
CLIENT,C-003002001,LANNA,LAN,NA,0.276473098,0.60219801,0.002127018,0.002127018,0.002127018,0.002127018,0.053934546,0.056956134,0,0,0.001930142,0,0,0,0,0,1.000000002,,C-003002001
CLIENT,C-003002002,LANLA,LAN,LA,0,0,0.04,0.08,0.266,0.434,0,0,0,0,0.18,0,0,0,0,0,1,,C-003002002
CLIENT,C-003003001,VPN UsersNA,VPN Users,NA,0.055809698,0.209515096,0,0,0,0,0.69441903,0.040256176,0,0,0,0,0,0,0,0,1,,C-003003001
