ACCOUNT,GL_L1,GL_L2,GL_L3,ITFM_CATEGORY
545002,01. Total Employee Costs,01. Salaries Dollars,SALARIES DOLLAR EMPLOYEES,01 - Salaries
545005,01. Total Employee Costs,01. Salaries Dollars,HYPO TAX,02 - Other Employee Benefits & Costs
546505,01. Total Employee Costs,01. Salaries Dollars,Long Term Incentive,02 - Other Employee Benefits & Costs
548000,01. Total Employee Costs,01. Salaries Dollars,Payroll Tax Expense,02 - Other Employee Benefits & Costs
548500,01. Total Employee Costs,01. Salaries Dollars,Payroll Tax Expense - U.S.,02 - Other Employee Benefits & Costs
548504,01. Total Employee Costs,01. Salaries Dollars,FICA TAXES,02 - Other Employee Benefits & Costs
548505,01. Total Employee Costs,01. Salaries Dollars,FUI & SUI,02 - Other Employee Benefits & Costs
548509,01. Total Employee Costs,01. Salaries Dollars,TAX EQUALIZATION,02 - Other Employee Benefits & Costs
549000,01. Total Employee Costs,01. Salaries Dollars,Payroll Tax Expense - Non U.,02 - Other Employee Benefits & Costs
782097,01. Total Employee Costs,01. Salaries Dollars,Intercompany Transfer - Salaries,01 - Salaries
548506,01. Total Employee Costs,01. Salaries Dollars,FED & STATE UEMPLOY,02 - Other Employee Benefits & Costs
545000,01. Total Employee Costs,01. Salaries Dollars,Regular Pay - Salaried,01 - Salaries
545001,01. Total Employee Costs,02. Salaries Colones,SALARIES,01 - Salaries
546000,01. Total Employee Costs,02. Salaries Colones,Overtime - Salaried,01 - Salaries
546002,01. Total Employee Costs,02. Salaries Colones,OVERTIME,01 - Salaries
546500,01. Total Employee Costs,02. Salaries Colones,Bonus - Salaried (tied to pe,01 - Salaries
546519,01. Total Employee Costs,02. Salaries Colones,VACATION BONUS,02 - Other Employee Benefits & Costs
546521,01. Total Employee Costs,02. Salaries Colones,TEMP CLERICAL SERVICES,02 - Other Employee Benefits & Costs
546502,01. Total Employee Costs,02. Salaries Colones,Bonus,01 - Salaries
546503,01. Total Employee Costs,02. Salaries Colones,Bonus Local,01 - Salaries
546510,01. Total Employee Costs,02. Salaries Colones,Bonus Colones,01 - Salaries
545006,01. Total Employee Costs,02. Salaries Colones,Overtime 1.5,01 - Salaries
545007,01. Total Employee Costs,02. Salaries Colones,Overtime 2,01 - Salaries
545011,01. Total Employee Costs,02. Salaries Colones,Salarios - Bonos,01 - Salaries
546520,01. Total Employee Costs,02. Salaries Colones,VACATION BONUS,02 - Other Employee Benefits & Costs
545004,01. Total Employee Costs,02. Salaries Colones,REINTEGRO DE INCAPACIDAD,02 - Other Employee Benefits & Costs
546006,01. Total Employee Costs,02. Salaries Colones,OVERTIME 1.5,01 - Salaries
546007,01. Total Employee Costs,02. Salaries Colones,OVERTIME 2,01 - Salaries
549001,01. Total Employee Costs,03. Social Security,ENFERMEDAD Y MATERNIDAD,02 - Other Employee Benefits & Costs
549002,01. Total Employee Costs,03. Social Security,"INVALIDEZ, VEJEZ Y MUERTE",02 - Other Employee Benefits & Costs
549003,01. Total Employee Costs,03. Social Security,ASIGNACIONES FAMILIARES,02 - Other Employee Benefits & Costs
549004,01. Total Employee Costs,03. Social Security,INA,02 - Other Employee Benefits & Costs
549005,01. Total Employee Costs,03. Social Security,IMAS,02 - Other Employee Benefits & Costs
549006,01. Total Employee Costs,03. Social Security,BANCO POPULAR,02 - Other Employee Benefits & Costs
549007,01. Total Employee Costs,03. Social Security,FONDO DE CAPITALIZACION LABORA,02 - Other Employee Benefits & Costs
549008,01. Total Employee Costs,03. Social Security,PENSION COMPLEMENTARIA OBLIGAT,02 - Other Employee Benefits & Costs
549016,01. Total Employee Costs,03. Social Security,SEGURO SOCIAL,02 - Other Employee Benefits & Costs
549017,01. Total Employee Costs,03. Social Security,EE SEGURO SOCIAL,02 - Other Employee Benefits & Costs
550000,01. Total Employee Costs,03. Social Security,Other Payroll Costs,02 - Other Employee Benefits & Costs
556002,01. Total Employee Costs,03. Social Security,"INVALIDEZ, VEJEZ Y MUERTE",02 - Other Employee Benefits & Costs
556003,01. Total Employee Costs,03. Social Security,Fondo Capitalización,02 - Other Employee Benefits & Costs
556004,01. Total Employee Costs,03. Social Security,Pensión Comp. Obligatoria,02 - Other Employee Benefits & Costs
549009,01. Total Employee Costs,03. Social Security,Payroll Tax Expenses,02 - Other Employee Benefits & Costs
549011,01. Total Employee Costs,03. Social Security,ENFERMEDAD Y MATERNIDAD IME'S,NO IDENTIFICADO
549013,01. Total Employee Costs,03. Social Security,Social Taxes,NO IDENTIFICADO
